Assignment,Lit_eV,Status,Exp_eV,Shift_meV
FE,3.478,FOUND,3.528,50.0
DBE,3.471,FOUND,3.4702,-0.75
ABE,3.466,WEAK / NOT FOUND,3.4642,-1.77
Y1,3.45,WEAK / NOT FOUND,3.4821,32.12
Y2,3.41,WEAK / NOT FOUND,3.4551,45.07
FE-LO,3.387,WEAK / NOT FOUND,3.437,50.0
DBE-LO,3.38,WEAK / NOT FOUND,3.3957,15.7
Y3,3.37,WEAK / NOT FOUND,3.369,-0.99
ABE–LO,3.375,WEAK / NOT FOUND,3.374,-1.02
Y4,3.35,WEAK / NOT FOUND,3.3463,-3.69
Y5,3.34,WEAK / NOT FOUND,3.3171,-22.88
Y6,3.3,WEAK / NOT FOUND,3.2978,-2.22
FE-2LO,3.295,WEAK / NOT FOUND,3.2973,2.32
DBE-2LO,3.288,WEAK / NOT FOUND,3.2882,0.15
ABE-2LO,3.283,WEAK / NOT FOUND,3.2779,-5.06
ABE-2LO,3.272,WEAK / NOT FOUND,3.2779,5.94
Y7,3.21,WEAK / NOT FOUND,3.1779,-32.09
Y8,3.08,WEAK / NOT FOUND,3.1046,24.62
