Assignment,Lit_eV,Status,Exp_eV,Shift_meV,Sigma_meV,FWHM_meV,Amplitude
FE,3.478,FOUND,3.4706,-7.42,6.1,14.4,8841.1
DBE,3.471,FOUND,3.4706,-0.42,6.1,14.4,8840.1
ABE,3.466,FOUND,3.4706,4.59,6.1,14.4,8838.9
Y1,3.45,FOUND,3.458,8.0,12.0,28.3,3952.5
Y2,3.41,WEAK / NOT FOUND,3.402,-8.0,2.0,4.7,0.0
FE-LO,3.387,WEAK / NOT FOUND,3.379,-8.0,2.0,4.7,0.0
DBE-LO,3.38,WEAK / NOT FOUND,3.372,-8.0,2.0,4.7,0.0
Y3,3.37,WEAK / NOT FOUND,3.378,8.0,2.0,4.7,0.0
ABE–LO,3.375,WEAK / NOT FOUND,3.383,8.0,2.0,4.7,0.0
Y4,3.35,NOT FITTED,,,,,
Y5,3.34,NOT FITTED,,,,,
Y6,3.3,FOUND,3.292,-8.0,12.0,28.3,329.8
FE-2LO,3.295,FOUND,3.287,-8.0,12.0,28.3,370.9
DBE-2LO,3.288,FOUND,3.281,-7.02,12.0,28.3,403.8
ABE-2LO,3.283,FOUND,3.28,-3.0,12.0,28.3,404.9
ABE-2LO,3.272,FOUND,3.28,8.0,12.0,28.3,404.9
Y7,3.21,NOT FITTED,,,,,
Y8,3.08,NOT FITTED,,,,,
